"הכותרת המקורית (האמת)","השאלה למשחק","המושג החסר (התשובה)","מקור","סוג שאלה","שם קובץ ההקלטה"
"תמורת מיליון שקל: גם אתם תוכלו להיות קיבוצניקים","תמורת מיליון שקל: גם אתם תוכלו להיות _______","קיבוצניקים","הארץ",2,"L2_Kibbutz_Million"
"""קיבוצניקים ראו כסף והסתנוורו""","""_______ ראו כסף והסתנוורו""","קיבוצניקים","הארץ",3,"L3_Kibbutz_Money"
"סך הכל רצינו יום שקט בים, לא לריב עם קיבוצניקים חוליגנים","סך הכל רצינו יום שקט בים, לא לריב עם _______ חוליגנים","קיבוצניקים","הארץ",3,"L3_Beach_Hooligan"
"קיבוצניקים מסייעים לפלשתינאים בשיקום עצי זית","_______ מסייעים לפלשתינאים בשיקום עצי זית","קיבוצניקים","הארץ",2,"L2_Kibbutz_Olives"
"בפריפריה מעשנים יותר ומתים יותר מסרטן ריאות. עד מתי?","בפריפריה _______ יותר. עד מתי?","מתים יותר מסרטן ריאות","הארץ",3,"L3_Peri_Cancer"
"ראש העיר באר שבע: עד 2020 - נבטל את המושג פריפריה","ראש העיר באר שבע: עד 2020 - נבטל את המושג _______","פריפריה","הארץ",2,"L2_BS_Periphery"
"האם יש הבדל אמיתי בין לימודי עיצוב במרכז ובפריפריה?","האם יש הבדל אמיתי בין ______ במרכז ובפריפריה?","לימודי עיצוב","הארץ",2,"L2_Design_Studies"
"במרכז לוינסקי־וינגייט אסרו על מרצות ללמד חרדים, וחזרו בהם","במרכז לוינסקי־וינגייט אסרו על מרצות ללמד ______, וחזרו בהם","חרדים","הארץ",3,"L3_Wingate_Haredi"
"פעם הם שמרו מרחק, אבל יותר ויותר חרדים פוקדים את שבוע הספר","פעם הם שמרו מרחק, אבל יותר ויותר ______ פוקדים את שבוע הספר","חרדים","הארץ",1,"L1_Haredi_Books"
"האם טבעונים הם אנשים בריאים יותר?","האם ______ הם אנשים בריאים יותר?","טבעונים","הארץ",2,"L2_Vegan_Healthy"
"ח""כיות בכנס שמבקש להפוך את ישראל למדינה טבעונית","ח""כיות בכנס שמבקש להפוך את ישראל למדינה _______","טבעונית","ערוץ 14",2,"L2_Vegan_State"
"האם טבעונים מקבלים יותר לייקים באפליקצית ההכרויות?","האם _______ מקבלים יותר לייקים באפליקצית ההכרויות?","טבעונים","ערוץ 14",1,"L1_Vegan_Likes"
"לאחר שלא מצא בה מוצרים לטבעוניים: תושב נתניה הצית פיצרייה","לאחר שלא מצא בה ________: תושב נתניה הצית פיצרייה","מוצרים לטבעוניים","ערוץ 14",1,"L1_Pizza_Arson"
"יום המזוזה הארצי: קיבוצניקים מכל הארץ יחשפו למסורת ישראל","יום המזוזה הארצי: ________ מכל הארץ יחשפו למסורת ישראל","קיבוצניקים","ערוץ 14",2,"L2_Mezuzah_Day"
"סקר חדש: הציבור החרדי – המגזר שלא שונא אחרים","סקר חדש: _______ – המגזר שלא שונא אחרים","ציבור החרדי","הידברות",2,"L2_Haredi_No_Hate"
"מחקר מצא: אנשים יפים יותר מרוויחים יותר","מחקר מצא: ____ יותר מרוויחים יותר","אנשים יפים","וואלה! כסף",2,"L2_Pretty_Rich"
"מחקר ענק: למה ילדים מהמגזר החרדי נמוכים הרבה יותר?","מחקר ענק: למה ילדים מהמגזר החרדי ____ הרבה יותר?","נמוכים","וואלה! בריאות",2,"L2_Haredi_Short"
"מילניאלס אוהבים את האקסל יותר בהשוואה לדורות קודמים","מילניאלס אוהבים ____ יותר בהשוואה לדורות קודמים","את האקסל","mako טכנולוגיה",1,"L1_Excel_Love"
"זינוק של עד 40% במחירי הגלידות: ""עד הקיץ הצרכנים ישכחו""","זינוק של עד 40% במחירי ה_____: ""עד הקיץ הצרכנים ישכחו""","גלידות","וואלה! כסף",1,"L1_IceCream_Price"
"מחקר ענק: זה הדבר המדהים שהנקה עושה למוח של ילדים.","מחקר ענק: זה הדבר המדהים ש_____ עושה למוח של ילדים","הנקה","וואלה! בריאות",1,"L1_Breastfeed_Brain"
"מחקר: חצי מבני הנוער שונאים ערבים","מחקר: חצי מבני הנוער שונאים _____","ערבים","Mako הורים",3,"L3_Youth_Arabs"
"בחודש: שני מקרי אי-ספיקת כליות בעקבות החלקת שיער","בחודש: שני מקרי אי-ספיקת כליות בעקבות ______","החלקת שיער","mako בריאות",2,"L2_Hair_Kidney"
"מחקר חושף: הדמוקרטיה מעשירה אותנו פי 5 יותר מהיי-טק","מחקר חושף: ______ מעשירה אותנו פי 5 יותר מהיי-טק","הדמוקרטיה","mako כסף",2,"L2_Democ_Rich"
